"bigram","count"
"gt",11394125
"xi",10879792
"rf",10695224
"ix",10688434
"cs",10532490
"kc",10479079
"ky",10429765
"lg",10332324
"nz",10260466
"hk",10259711
"hl",10231387
"lf",10187701
"dv",10080417
"vy",9992314
"kk",9894242
"vu",9881257
"yc",9874991
"hm",9818936
"lk",9765661
"gk",9741680
"tm",9708001
"kn",9680832
"uv",9631931
"ij",9468843
"kd",9318350
"lc",9187486
"ym",9170688
"sf",9076422
"vr",9064489
"zh",8835678
"hw",8645683
"nh",8600706
"tz",8481516
"tv",8439679
"oz",8376427
"yp",8338549
"zz",8313517
"gg",8240535
"ez",8174611
"dg",8147308
"xt",8122275
"ih",8028037
"zu",7865479
"yt",7799360
"mt",7778665
"rh",7777751
"np",7671130
"dl",7661850
"gy",7641198
"gd",7632750
"mn",7610091
"qa",7591864
"tb",7583126
"lh",7522297
"vs",7414429
"lp",7206390
"ox",7188776
"uw",7183117
"nr",6960686
"dj",6826394
"gb",6805573
"py",6685048
"ax",6589021
"bb",6500714
"dm",6477544
"xa",6288923
"uh",6126753
"uu",6012591
"nw",5975435
"ln",5938861
"wr",5901106
"iw",5850700
"db",5759203
"ml",5714579
"tk",5684573
"wt",5654648
"gc",5635182
"lw",5590267
"rw",5438478
"xp",5424972
"gm",5402506
"tf",5317445
"fs",5215518
"dz",5102440
"hh",5017428
"qi",5012410
"tj",4971319
"iq",4920880
"pn",4905329
"hb",4898502
"dt",4660838
"tp",4596243
"xc",4577215
"yg",4574165
"hc",4543294
"dw",4474950
"td",4432394
"cz",4360481
"sd",4339070
"sz",4305989
"bj",4259149
"xe",4251992
"vk",4212699
"uj",4182692
"rz",4064084
"sg",3988724
"rj",3973979
"dc",3970132
"mh",3962724
"kv",3920959
"hd",3885203
"uy",3869277
"kp",3864556
"vw",3858721
"dp",3826206
"kw",3807737
"mk",3704348
"dn",3657312
"wl",3643104
"pd",3615449
"hv",3589507
"sq",3473775
"vl",3468339
"vc",3443941
"wj",3372482
"gw",3289409
"wu",3258097
"yb",3225757
"ux",3200024
"fc",3173584
"pk",3106297
"wy",3103100
"lr",3079526
"gp",3040819
"yk",2965108
"mw",2875541
"lj",2873835
"qk",2867137
"vh",2847956
"bd",2823746
"pm",2809932
"cp",2695831
"xo",2646707
"cg",2617386
"pc",2578281
"bw",2575803
"cb",2560506
"tg",2556661
"kg",2546536
"wk",2466283
"sj",2425423
"gj",2402707
"zl",2396093
"dk",2366379
"cn",2346188
"mg",2335984
"hp",2286781
"px",2259867
"kj",2255248
"bc",2233316
"dq",2223361
"zy",2218102
"yv",2136260
"kf",2102283
"cm",2086336
"js",2048785
"pg",1973036
"gf",1941071
"zv",1922284
"zk",1921334
"gx",1906652
"gv",1879914
"cq",1869490
"cd",1844994
"zm",1842064
"vf",1830594
"fy",1799963
"yw",1768763
"gz",1749784
"jp",1741639
"yy",1740865
"nq",1734231
"fj",1707602
"vn",1692796
"jn",1671256
"fm",1668040
"md",1665275
"fp",1646308
"hg",1634368
"cv",1605850
"uq",1604279
"bt",1578051
"pj",1567843
"zd",1561209
"wm",1519257
"kb",1491275
"fd",1486687
"cj",1485443
"mf",1477478
"bp",1389364
"bv",1362750
"fk",1359738
"ww",1341476
"mv",1334428
"jr",1322640
"jh",1320413
"zb",1318921
"lz",1318086
"zw",1311139
"wd",1294791
"vd",1292966
"yf",1276932
"xx",1248857
"bm",1242968
"yh",1234081
"oq",1182643
"lq",1178878
"bn",1149498
"qm",1149379
"jd",1147009
"xf",1112761
"xg",1071504
"wb",1068266
"xu",1060804
"mz",1051943
"xl",1037642
"yz",1034821
"xd",1013957
"cf",1008569
"vt",1004616
"yx",1002843
"jk",978857
"bg",970448
"xy",970176
"zc",964845
"xh",963281
"wp",952400
"hf",940506
"yj",937402
"zt",929849
"vm",910199
"pw",870108
"wc",857872
"mj",848460
"rx",839217
"zn",822946
"nx",799080
"fn",797803
"vg",793240
"zp",778979
"jc",774044
"xm",757640
"pb",737426
"fb",730454
"rq",718957
"jb",715792
"qc",696835
"fw",671840
"hj",652665
"bk",652601
"vv",640845
"xs",638653
"xv",627747
"wf",624605
"ql",606357
"cw",597322
"jm",590061
"tq",572074
"jy",551807
"jj",540236
"bz",534287
"zr",520814
"hq",518126
"xz",513273
"vb",511460
"zg",508650
"jv",489084
"fg",483512
"zs",476908
"qq",476505
"qb",463116
"xk",452758
"xw",450392
"hz",441713
"qy",441005
"wg",432466
"vp",425388
"qo",412674
"xb",411678
"zj",401544
"xr",371608
"fh",361773
"jt",358218
"gq",354553
"sx",345171
"jg",337457
"xq",333773
"tx",329886
"bf",321839
"fv",320118
"pv",318755
"qr",311605
"jl",303464
"qd",303372
"jf",287104
"pq",262543
"lx",257072
"wv",256836
"dx",251851
"qn",251755
"vq",236744
"fq",213600
"bq",192406
"cx",191383
"wx",190985
"vj",190927
"qw",174671
"pz",170959
"qs",166123
"jz",154423
"mx",144983
"zf",144183
"fz",143561
"fx",143344
"jw",141876
"kz",137334
"qp",136800
"xn",126667
"kx",119181
"vz",117104
"qj",108874
"qh",104529
"qf",104379
"mq",103634
"qv",100375
"xj",98737
"wz",97655
"bx",95523
"yq",92654
"zx",80354
"kq",76602
"hx",71192
"jq",68316
"zq",54487
"vx",51291
"wq",49033
"qx",31649
"qg",30657
"jx",22683
"qz",19983
